model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Rain,2,2,0,0,1,94,6,5,100,33
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Rain,2,2,0,0,2,94,6,5,100,33
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Rain,2,2,0,0,3,94,6,5,100,33
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Rain,2,1,1,0,1,94,6,2,50,16
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Rain,2,2,0,0,2,94,6,4,100,31
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Rain,2,2,0,0,3,94,6,4,100,31
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Fog,4,4,0,0,1,94,6,9,100,49
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Fog,4,4,0,0,2,94,6,9,100,49
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Fog,4,4,0,0,3,94,6,9,100,49
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Fog,4,4,0,0,1,94,6,8,100,48
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Fog,4,4,0,0,2,94,6,8,100,48
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Fog,4,4,0,0,3,94,6,8,100,48
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Snow,3,3,0,0,1,94,6,7,100,42
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Snow,3,3,0,0,2,94,6,7,100,42
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-Snow,3,3,0,0,3,94,6,7,100,42
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Snow,3,3,0,0,1,94,6,6,100,41
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Snow,3,2,1,0,2,94,6,4,67,27
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-Snow,3,3,0,0,3,94,6,6,100,41
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNight,2,2,0,0,1,94,6,5,100,33
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNight,2,2,0,0,2,94,6,5,100,33
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNight,2,2,0,0,3,94,6,5,100,33
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNight,2,1,1,0,1,94,6,2,50,16
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNight,2,1,1,0,2,94,6,2,50,16
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNight,2,1,1,0,3,94,6,2,50,16
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightRain,2,2,0,0,1,94,6,5,100,33
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightRain,2,2,0,0,2,94,6,5,100,33
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,94,6,5,100,33
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightRain,2,2,0,0,2,94,6,4,100,31
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightRain,2,2,0,0,3,94,6,4,100,31
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightFog,5,5,0,0,1,94,6,11,100,55
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,94,6,11,100,55
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,94,6,11,100,55
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightFog,5,0,5,0,1,0,0,0,0,0
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightFog,5,5,0,0,2,94,6,10,100,53
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightFog,5,5,0,0,3,94,6,10,100,53
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,94,6,9,100,49
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightSnow,3,3,0,2,2,94,6,7,100,42
dave2-p10-track1-mcd_30_S5,max,DAVE2-Track1-DayNightSnow,4,4,0,1,3,94,6,9,100,49
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightSnow,4,4,0,1,1,94,6,8,100,48
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightSnow,3,3,0,2,2,94,6,6,100,41
dave2-p10-track1-mcd_30_S5,mean,DAVE2-Track1-DayNightSnow,4,3,1,1,3,94,6,6,75,36
