model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-track1-DE_3,max,DAVE2-Track1-Rain,2,2,0,0,1,97,3,10,100,51
dave2-track1-DE_3,max,DAVE2-Track1-Rain,2,2,0,0,2,97,3,10,100,51
dave2-track1-DE_3,max,DAVE2-Track1-Rain,2,2,0,0,3,97,3,10,100,51
dave2-track1-DE_3,mean,DAVE2-Track1-Rain,2,2,0,0,1,97,3,10,100,51
dave2-track1-DE_3,mean,DAVE2-Track1-Rain,2,2,0,0,2,97,3,10,100,51
dave2-track1-DE_3,mean,DAVE2-Track1-Rain,2,2,0,0,3,97,3,10,100,51
dave2-track1-DE_3,max,DAVE2-Track1-Fog,4,4,0,0,1,97,3,17,100,68
dave2-track1-DE_3,max,DAVE2-Track1-Fog,4,4,0,0,2,97,3,17,100,68
dave2-track1-DE_3,max,DAVE2-Track1-Fog,4,4,0,0,3,97,3,17,100,68
dave2-track1-DE_3,mean,DAVE2-Track1-Fog,4,4,0,0,1,97,3,17,100,68
dave2-track1-DE_3,mean,DAVE2-Track1-Fog,4,4,0,0,2,97,3,17,100,68
dave2-track1-DE_3,mean,DAVE2-Track1-Fog,4,4,0,0,3,97,3,17,100,68
dave2-track1-DE_3,max,DAVE2-Track1-Snow,3,3,0,0,1,97,3,14,100,61
dave2-track1-DE_3,max,DAVE2-Track1-Snow,3,3,0,0,2,97,3,14,100,61
dave2-track1-DE_3,max,DAVE2-Track1-Snow,3,3,0,0,3,97,3,14,100,61
dave2-track1-DE_3,mean,DAVE2-Track1-Snow,3,3,0,0,1,97,3,14,100,61
dave2-track1-DE_3,mean,DAVE2-Track1-Snow,3,3,0,0,2,97,3,14,100,61
dave2-track1-DE_3,mean,DAVE2-Track1-Snow,3,3,0,0,3,97,3,14,100,61
dave2-track1-DE_3,max,DAVE2-Track1-DayNight,2,2,0,0,1,97,3,10,100,51
dave2-track1-DE_3,max,DAVE2-Track1-DayNight,2,2,0,0,2,97,3,10,100,51
dave2-track1-DE_3,max,DAVE2-Track1-DayNight,2,2,0,0,3,97,3,10,100,51
dave2-track1-DE_3,mean,DAVE2-Track1-DayNight,2,2,0,0,1,97,3,10,100,51
dave2-track1-DE_3,mean,DAVE2-Track1-DayNight,2,2,0,0,2,97,3,10,100,51
dave2-track1-DE_3,mean,DAVE2-Track1-DayNight,2,2,0,0,3,97,3,10,100,51
dave2-track1-DE_3,max,DAVE2-Track1-DayNightRain,2,2,0,0,1,97,3,10,100,51
dave2-track1-DE_3,max,DAVE2-Track1-DayNightRain,2,2,0,0,2,97,3,10,100,51
dave2-track1-DE_3,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,97,3,10,100,51
dave2-track1-DE_3,mean,DAVE2-Track1-DayNightRain,2,0,2,0,1,0,0,0,0,0
dave2-track1-DE_3,mean,DAVE2-Track1-DayNightRain,2,2,0,0,2,97,3,10,100,51
dave2-track1-DE_3,mean,DAVE2-Track1-DayNightRain,2,2,0,0,3,97,3,10,100,51
dave2-track1-DE_3,max,DAVE2-Track1-DayNightFog,5,5,0,0,1,97,3,21,100,72
dave2-track1-DE_3,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,97,3,21,100,72
dave2-track1-DE_3,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,97,3,21,100,72
dave2-track1-DE_3,mean,DAVE2-Track1-DayNightFog,5,5,0,0,1,97,3,21,100,72
dave2-track1-DE_3,mean,DAVE2-Track1-DayNightFog,5,5,0,0,2,97,3,21,100,72
dave2-track1-DE_3,mean,DAVE2-Track1-DayNightFog,5,5,0,0,3,97,3,21,100,72
dave2-track1-DE_3,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,97,3,17,100,68
dave2-track1-DE_3,max,DAVE2-Track1-DayNightSnow,3,3,0,2,2,97,3,14,100,61
dave2-track1-DE_3,max,DAVE2-Track1-DayNightSnow,4,4,0,1,3,97,3,17,100,68
dave2-track1-DE_3,mean,DAVE2-Track1-DayNightSnow,4,4,0,1,1,97,3,17,100,68
dave2-track1-DE_3,mean,DAVE2-Track1-DayNightSnow,3,3,0,2,2,97,3,14,100,61
dave2-track1-DE_3,mean,DAVE2-Track1-DayNightSnow,4,4,0,1,3,97,3,17,100,68
