model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-Rain,2,2,0,0,1,93,7,4,100,27
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-Rain,2,2,0,0,2,93,7,4,100,27
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-Rain,2,2,0,0,3,93,7,4,100,27
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-Rain,2,2,0,0,1,92,8,3,100,25
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-Rain,2,2,0,0,2,92,8,3,100,25
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-Rain,2,2,0,0,3,92,8,3,100,25
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-Fog,4,4,0,0,1,93,7,7,100,42
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-Fog,4,4,0,0,2,93,7,7,100,42
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-Fog,4,4,0,0,3,93,7,7,100,42
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-Fog,4,4,0,0,1,92,8,6,100,40
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-Fog,4,4,0,0,2,92,8,6,100,40
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-Fog,4,4,0,0,3,92,8,6,100,40
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-Snow,3,3,0,0,1,93,7,5,100,35
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-Snow,3,3,0,0,2,93,7,5,100,35
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-Snow,3,3,0,0,3,93,7,5,100,35
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-Snow,3,3,0,0,1,92,8,5,100,34
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-Snow,3,3,0,0,2,92,8,5,100,34
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-Snow,3,3,0,0,3,92,8,5,100,34
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNight,2,2,0,0,1,93,7,4,100,27
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNight,2,2,0,0,2,93,7,4,100,27
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNight,2,2,0,0,3,93,7,4,100,27
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNight,2,2,0,0,1,92,8,3,100,25
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNight,2,2,0,0,2,92,8,3,100,25
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNight,2,2,0,0,3,92,8,3,100,25
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNightRain,2,2,0,0,1,93,7,4,100,27
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNightRain,2,2,0,0,2,93,7,4,100,27
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,93,7,4,100,27
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNightRain,2,2,0,0,1,92,8,3,100,25
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNightRain,2,2,0,0,2,92,8,3,100,25
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNightRain,2,2,0,0,3,92,8,3,100,25
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNightFog,5,5,0,0,1,93,7,8,100,48
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,93,7,8,100,48
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,93,7,8,100,48
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNightFog,5,5,0,0,1,92,8,8,100,46
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNightFog,5,5,0,0,2,92,8,8,100,46
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNightFog,5,5,0,0,3,92,8,8,100,46
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,93,7,7,100,42
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNightSnow,3,3,0,2,2,93,7,5,100,35
dave2-p10-track1-mcd_35_S2,max,DAVE2-Track1-DayNightSnow,4,4,0,1,3,93,7,7,100,42
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNightSnow,4,3,1,1,1,92,8,5,75,31
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNightSnow,3,2,1,2,2,92,8,3,67,23
dave2-p10-track1-mcd_35_S2,mean,DAVE2-Track1-DayNightSnow,4,4,0,1,3,92,8,6,100,40
