model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-track1-DE_5,max,DAVE2-Track1-Rain,2,2,0,0,1,98,2,13,100,61
dave2-track1-DE_5,max,DAVE2-Track1-Rain,2,2,0,0,2,98,2,13,100,61
dave2-track1-DE_5,max,DAVE2-Track1-Rain,2,2,0,0,3,98,2,13,100,61
dave2-track1-DE_5,mean,DAVE2-Track1-Rain,2,2,0,0,1,99,1,15,100,65
dave2-track1-DE_5,mean,DAVE2-Track1-Rain,2,2,0,0,2,99,1,15,100,65
dave2-track1-DE_5,mean,DAVE2-Track1-Rain,2,2,0,0,3,99,1,15,100,65
dave2-track1-DE_5,max,DAVE2-Track1-Fog,4,4,0,0,1,98,2,24,100,75
dave2-track1-DE_5,max,DAVE2-Track1-Fog,4,4,0,0,2,98,2,24,100,75
dave2-track1-DE_5,max,DAVE2-Track1-Fog,4,4,0,0,3,98,2,24,100,75
dave2-track1-DE_5,mean,DAVE2-Track1-Fog,4,4,0,0,1,99,1,27,100,78
dave2-track1-DE_5,mean,DAVE2-Track1-Fog,4,4,0,0,2,99,1,27,100,78
dave2-track1-DE_5,mean,DAVE2-Track1-Fog,4,4,0,0,3,99,1,27,100,78
dave2-track1-DE_5,max,DAVE2-Track1-Snow,3,3,0,0,1,98,2,19,100,70
dave2-track1-DE_5,max,DAVE2-Track1-Snow,3,3,0,0,2,98,2,19,100,70
dave2-track1-DE_5,max,DAVE2-Track1-Snow,3,3,0,0,3,98,2,19,100,70
dave2-track1-DE_5,mean,DAVE2-Track1-Snow,3,3,0,0,1,99,1,21,100,73
dave2-track1-DE_5,mean,DAVE2-Track1-Snow,3,3,0,0,2,99,1,21,100,73
dave2-track1-DE_5,mean,DAVE2-Track1-Snow,3,3,0,0,3,99,1,21,100,73
dave2-track1-DE_5,max,DAVE2-Track1-DayNight,2,2,0,0,1,98,2,13,100,61
dave2-track1-DE_5,max,DAVE2-Track1-DayNight,2,2,0,0,2,98,2,13,100,61
dave2-track1-DE_5,max,DAVE2-Track1-DayNight,2,2,0,0,3,98,2,13,100,61
dave2-track1-DE_5,mean,DAVE2-Track1-DayNight,2,2,0,0,1,99,1,15,100,65
dave2-track1-DE_5,mean,DAVE2-Track1-DayNight,2,2,0,0,2,99,1,15,100,65
dave2-track1-DE_5,mean,DAVE2-Track1-DayNight,2,2,0,0,3,99,1,15,100,65
dave2-track1-DE_5,max,DAVE2-Track1-DayNightRain,2,2,0,0,1,98,2,13,100,61
dave2-track1-DE_5,max,DAVE2-Track1-DayNightRain,2,2,0,0,2,98,2,13,100,61
dave2-track1-DE_5,max,DAVE2-Track1-DayNightRain,2,2,0,0,3,98,2,13,100,61
dave2-track1-DE_5,mean,DAVE2-Track1-DayNightRain,2,2,0,0,1,99,1,15,100,65
dave2-track1-DE_5,mean,DAVE2-Track1-DayNightRain,2,2,0,0,2,99,1,15,100,65
dave2-track1-DE_5,mean,DAVE2-Track1-DayNightRain,2,2,0,0,3,99,1,15,100,65
dave2-track1-DE_5,max,DAVE2-Track1-DayNightFog,5,5,0,0,1,98,2,28,100,79
dave2-track1-DE_5,max,DAVE2-Track1-DayNightFog,5,5,0,0,2,98,2,28,100,79
dave2-track1-DE_5,max,DAVE2-Track1-DayNightFog,5,5,0,0,3,98,2,28,100,79
dave2-track1-DE_5,mean,DAVE2-Track1-DayNightFog,5,5,0,0,1,99,1,31,100,82
dave2-track1-DE_5,mean,DAVE2-Track1-DayNightFog,5,5,0,0,2,99,1,31,100,82
dave2-track1-DE_5,mean,DAVE2-Track1-DayNightFog,5,5,0,0,3,99,1,31,100,82
dave2-track1-DE_5,max,DAVE2-Track1-DayNightSnow,4,4,0,1,1,98,2,24,100,75
dave2-track1-DE_5,max,DAVE2-Track1-DayNightSnow,3,3,0,2,2,98,2,19,100,70
dave2-track1-DE_5,max,DAVE2-Track1-DayNightSnow,4,4,0,1,3,98,2,24,100,75
dave2-track1-DE_5,mean,DAVE2-Track1-DayNightSnow,4,4,0,1,1,99,1,27,100,78
dave2-track1-DE_5,mean,DAVE2-Track1-DayNightSnow,3,3,0,2,2,99,1,21,100,73
dave2-track1-DE_5,mean,DAVE2-Track1-DayNightSnow,4,4,0,1,3,99,1,27,100,78
