Model,Condition,Seconds,AUC-ROC,AUC-PRC,FPR,TPR,ROC Thresholds,PRC Thresholds,Precision,Recall
dave2-track1-DE_5.csv,DAVE2-Track1-DayNight,1,0.7399701931637828,0.026181554476811045,0.3122935209850719,0.5586912065439673,0.012413594577752698,0.00424039165371834,0.01589228732269149,0.6873520335313896
dave2-track1-DE_5.csv,DAVE2-Track1-DayNight,2,0.7834493041749504,0.0530200386681167,0.2617255204506063,0.5564987562189054,0.010478264710983958,0.00424039165371834,0.033483980094361585,0.736519506241076
dave2-track1-DE_5.csv,DAVE2-Track1-DayNight,3,0.7719794815425481,0.09627677638557712,0.2622551996847909,0.5452006980802792,0.010057609487875869,0.00424039165371834,0.052183074922499004,0.7207582945665024
dave2-track1-DE_5.csv,DAVE2-Track1-DayNightFog,1,0.8079940268790443,0.12812698400570793,0.5216815866269485,0.8363209494324045,0.0037920521827059703,0.0032859949690253122,0.054851806184116336,0.812122454557879
dave2-track1-DE_5.csv,DAVE2-Track1-DayNightFog,2,0.7970744711020361,0.20696499877333885,0.5062621944832925,0.8130366492146597,0.0037939572889854898,0.0032859949690253122,0.10389232424654267,0.7948339483394834
dave2-track1-DE_5.csv,DAVE2-Track1-DayNightFog,3,0.7609417379663581,0.2323343628732101,0.4933473022524882,0.7659767348576012,0.003879124582779807,0.0032859949690253122,0.1399491984497382,0.7548722153888205
dave2-track1-DE_5.csv,DAVE2-Track1-DayNightRain,1,0.6108449695667739,0.04343772534572216,0.40056323281192174,0.5100840336134455,0.014232534968983647,0.0038389952833898593,0.02354757687528168,0.6035263308939589
dave2-track1-DE_5.csv,DAVE2-Track1-DayNightRain,2,0.6546100834240116,0.05874259176676368,0.3565633320213923,0.5119858156028368,0.009814972537455145,0.0038389952833898593,0.04338412447980227,0.6453795379537954
dave2-track1-DE_5.csv,DAVE2-Track1-DayNightRain,3,0.7293225529829721,0.10526713159897774,0.287591073712863,0.5212331025387406,0.009015649457614388,0.0038389952833898593,0.07358543426137955,0.7163103266848424
dave2-track1-DE_5.csv,DAVE2-Track1-DayNightSnow,1,0.7043866381225512,0.07919714595540422,0.31078786580758777,0.5155446756425949,0.009769927321369408,0.003427126933899844,0.05358974629349472,0.6822806098536021
dave2-track1-DE_5.csv,DAVE2-Track1-DayNightSnow,2,0.6994434325035418,0.13664010350523695,0.33465322067239783,0.5374039133473095,0.008116171972682159,0.003331005872623229,0.08608981665157271,0.6844340286574895
dave2-track1-DE_5.csv,DAVE2-Track1-DayNightSnow,3,0.7043805420257275,0.1904797236396037,0.339583024737076,0.5490469676242591,0.0071909971948497155,0.003272281656401769,0.12132659846237735,0.6913014870377681
dave2-track1-DE_5.csv,DAVE2-Track1-Fog,1,0.7336760461760462,0.0738524144986007,0.4961336654509947,0.7340960240060015,0.0047019463329166285,0.004187344683424792,0.03795098708027217,0.7111566666666667
dave2-track1-DE_5.csv,DAVE2-Track1-Fog,2,0.7116501468428782,0.15832016897550208,0.4876033244282312,0.7036332601804439,0.00475873948571814,0.004187344683424792,0.07223542400211473,0.6841
dave2-track1-DE_5.csv,DAVE2-Track1-Fog,3,0.6917426507224713,0.16868743205135234,0.4829040816043063,0.6784985306965292,0.0047592978017831815,0.003939398247068731,0.09641233715244764,0.6841520250763011
dave2-track1-DE_5.csv,DAVE2-Track1-Rain,1,0.4935355504121493,0.006584368542597658,0.6322988596153829,0.664730971128609,0.005551917678889095,0.004830778601121369,0.006204974903348646,0.4610197153675414
dave2-track1-DE_5.csv,DAVE2-Track1-Rain,2,0.4114155111056571,0.01107573015314044,0.6391549389323519,0.5835258525852586,0.005124964441570723,0.004830778601121369,0.009130005947304166,0.37593571832702266
dave2-track1-DE_5.csv,DAVE2-Track1-Rain,3,0.43102498592052296,0.017126275899592043,0.6256216284279614,0.5896655571405928,0.004941756148490382,0.004830778601121369,0.013956479100371587,0.3966437451944699
dave2-track1-DE_5.csv,DAVE2-Track1-Snow,1,0.6138630250362095,0.018304029795457727,0.5064024676562552,0.6221614820599594,0.005641770465144564,0.005447149421907787,0.01731775664655524,0.6057460865751021
dave2-track1-DE_5.csv,DAVE2-Track1-Snow,2,0.5867214079556264,0.07729226155237856,0.5063172410850697,0.5931399097356544,0.005642397249529647,0.005384354387781925,0.03812114338296521,0.580911057042444
dave2-track1-DE_5.csv,DAVE2-Track1-Snow,3,0.5462541862354597,0.07559417256023786,0.5078954884659326,0.5538138582514583,0.005631840122302782,0.005363072437619341,0.04959800493995549,0.5401757732599328
dave2-track1-DE_5.csv,xai-track1-fog-10,1,0.7642140122115285,0.2923232480927143,0.29081953732683324,0.5856606606606607,0.012501653566574324,0.0027641282995708154,0.07976195081084804,0.7122671115878124
dave2-track1-DE_5.csv,xai-track1-fog-10,2,0.7441349484991514,0.28434340021266064,0.3122534649301997,0.5802539886301119,0.008600291656082707,0.002395160297518451,0.11585225325578093,0.7294430398572278
dave2-track1-DE_5.csv,xai-track1-fog-10,3,0.7294182979314174,0.26260439202754043,0.3212229946923824,0.5660689756671899,0.00699549178254945,0.002395160297518451,0.14011613324367322,0.7111253266550523
dave2-track1-DE_5.csv,xai-track1-fog-20,1,0.7778433749129721,0.1008409290485602,0.2501618938865903,0.5282338499309498,0.014768798430293231,0.004531143056790005,0.06476619959658787,0.7682552326098786
dave2-track1-DE_5.csv,xai-track1-fog-20,2,0.7883848767703436,0.20590592988823714,0.25445728974066106,0.5540620952780986,0.014131626158219624,0.004531143056790005,0.1231137175430236,0.7710817729178865
dave2-track1-DE_5.csv,xai-track1-fog-20,3,0.7719701653210305,0.29980578493196325,0.2759152536001788,0.5631881074899943,0.013263908587614065,0.004503532555006395,0.17177253787951854,0.7508042057402672
dave2-track1-DE_5.csv,xai-track1-fog-40,1,0.7953182732332444,0.04276181871520026,0.21866095805313496,0.5096213531967722,0.02636705954108939,0.007659406914538912,0.027692957996754933,0.7791415846914306
dave2-track1-DE_5.csv,xai-track1-fog-40,2,0.7591216269559314,0.09244138998127743,0.2653531377307773,0.5294729775092313,0.02480986037533233,0.007514856994418369,0.05484727841936962,0.7429737856468818
dave2-track1-DE_5.csv,xai-track1-fog-40,3,0.7465705953542431,0.18719698579552804,0.2959861115936922,0.5582455300127714,0.02092073154289871,0.007514856994418369,0.08581467399617229,0.7270657731288219
dave2-track1-DE_5.csv,xai-track1-fog-50,1,0.7147309136420527,0.04889815247139877,0.29228852082419043,0.5088744588744588,0.01470688991590909,0.009018343116921158,0.045185865708012,0.6261941848390447
dave2-track1-DE_5.csv,xai-track1-fog-50,2,0.6903832562323309,0.0890909017063743,0.3197052778231129,0.5142075078206465,0.013015082932493918,0.007233043590156632,0.07872080549185492,0.6777969782236359
dave2-track1-DE_5.csv,xai-track1-fog-50,3,0.6752790499315467,0.12552218669379905,0.3412796651633713,0.5202162588609284,0.012670014606894354,0.007233043590156632,0.11188810720255406,0.6595730754185634
dave2-track1-DE_5.csv,xai-track1-fog-60,1,0.8173960831334932,0.022420758832347044,0.22010527171483152,0.5186440677966102,0.023970189714152542,0.0073026962233040706,0.02064441362795064,0.5018607123870282
dave2-track1-DE_5.csv,xai-track1-fog-60,2,0.8391957481049444,0.05208536976067432,0.18131499717332145,0.5096536477523951,0.01645229979073913,0.006129172550209205,0.04845758597352635,0.6644088046493732
dave2-track1-DE_5.csv,xai-track1-fog-60,3,0.7759145840859085,0.0505848264642743,0.24014138959460954,0.5082215082215082,0.013721263545,0.004659568056298411,0.045144990017090436,0.6841119848454811
dave2-track1-DE_5.csv,xai-track1-fog-70,1,0.8597334565904013,0.15732804640338582,0.2797797174963804,0.6586894586894586,0.02263072525025641,0.006725961674536614,0.05087621042923437,0.8067031186715269
dave2-track1-DE_5.csv,xai-track1-fog-70,2,0.8361143660651512,0.2930283133638169,0.26284545965659245,0.6249589490968801,0.023545755231428562,0.006725961674536614,0.09740106350815553,0.7695878898339409
dave2-track1-DE_5.csv,xai-track1-fog-70,3,0.8077872857406968,0.45484446337852097,0.30934836496994805,0.6603801169590643,0.015228203787030076,0.005726455777188997,0.12682289380712108,0.7736111111111111
dave2-track1-DE_5.csv,xai-track1-fog-80,1,0.8372484884527703,0.031385459729106745,0.18558273984488874,0.5191256830601092,0.02638052367916393,0.0056924797607775385,0.023443422686816262,0.7570955670696604
dave2-track1-DE_5.csv,xai-track1-fog-80,2,0.8058655865586559,0.06494279396408541,0.21102366646921106,0.5188034188034188,0.01850617696443589,0.004300928105193439,0.04030255488572609,0.7904857673267326
dave2-track1-DE_5.csv,xai-track1-fog-80,3,0.7373532478891244,0.10413818719863613,0.2870673424016539,0.5254437869822485,0.015409025718810653,0.004128488323699674,0.05781441848273041,0.7295725482447475
dave2-track1-DE_5.csv,xai-track1-fog-90,1,0.8384325396825397,0.045455084402550285,0.1912912087912088,0.5158974358974359,0.02622313661695385,0.007248909599879445,0.03244571050188022,0.6638955823293173
dave2-track1-DE_5.csv,xai-track1-fog-90,2,0.8162112112112112,0.09067690397467153,0.20410989501898594,0.5170798898071625,0.0187352358912562,0.0044878113458063475,0.04574036718896124,0.7942094017094016
dave2-track1-DE_5.csv,xai-track1-fog-90,3,0.7439932659932659,0.12589019062470688,0.2810334559467508,0.5258831085420681,0.0152334320256763,0.0044074172590823375,0.0631418530533955,0.7204977833630049
dave2-track1-DE_5.csv,xai-track1-fog-100,1,0.7098266925817946,0.06424292565876916,0.3079115486944192,0.5196038251366121,0.01659141487633606,0.006291280300964605,0.04333010907951401,0.6982257437293409
dave2-track1-DE_5.csv,xai-track1-fog-100,2,0.6884890689788445,0.12285987748305754,0.3427841349780597,0.5368982925495996,0.0137385722219854,0.006291280300964605,0.08047769747652342,0.6729843652164826
dave2-track1-DE_5.csv,xai-track1-fog-100,3,0.6538174945936471,0.1349923594350822,0.3677890601412984,0.5262525176897362,0.011393566389263159,0.006182768128688634,0.10148026873545364,0.6426797991924043
dave2-track1-DE_5.csv,xai-track1-rain-10,1,0.9860805860805859,0.229103310782834,0.09165429165429163,0.4990990990990991,0.058126617800351325,0.04800307696774194,0.16866836948120054,0.3634751773049645
dave2-track1-DE_5.csv,xai-track1-rain-10,2,0.9699260433174856,0.2825867606263493,0.08381910471071913,0.6009661835748793,0.03456863706830435,0.017236785190566036,0.21932078818452172,0.7049803921568628
dave2-track1-DE_5.csv,xai-track1-rain-10,3,0.9425671111111112,0.24742481689563564,0.0952212389380531,0.5842674532940021,0.02291666525144248,0.013766867710954069,0.21089063936256866,0.6032137958063883
dave2-track1-DE_5.csv,xai-track1-rain-20,1,0.8824617181417077,0.12092524081623758,0.15498019364946453,0.5594890510948904,0.023662122514467157,0.00787349528289422,0.06904455947373561,0.8062598270440252
dave2-track1-DE_5.csv,xai-track1-rain-20,2,0.8734182619238716,0.2405806554907857,0.17760957348064202,0.594994937075076,0.019451234997497752,0.006086115579174771,0.1129409754925531,0.8362670367061417
dave2-track1-DE_5.csv,xai-track1-rain-20,3,0.8546196386008993,0.2995211267783317,0.20082344876295727,0.5966020066889632,0.018924300896713847,0.006086115579174771,0.1579375992256486,0.807547846583485
dave2-track1-DE_5.csv,xai-track1-rain-30,1,0.8034396497811133,0.0830083265183902,0.2403920275709613,0.5460176991150443,0.023223680347557518,0.00499251633299148,0.040697974957152216,0.7676604806814724
dave2-track1-DE_5.csv,xai-track1-rain-30,2,0.7719921910469445,0.10924939776201743,0.2737527489685139,0.5526829268292682,0.015134428179092682,0.004975922888799273,0.06979656377375311,0.7280185914923714
dave2-track1-DE_5.csv,xai-track1-rain-30,3,0.7334024004970194,0.10887428807945093,0.304654029274446,0.5455152412944148,0.011813620929491288,0.004890319747584053,0.08320645389071668,0.6877446772130931
dave2-track1-DE_5.csv,xai-track1-rain-40,1,0.569821103781524,0.06450308798681588,0.4764246603883032,0.5447852760736197,0.013223723662754604,0.003830684524284997,0.03668987838194288,0.5679532163742691
dave2-track1-DE_5.csv,xai-track1-rain-40,2,0.5911205484775308,0.13302661707568425,0.474165958265114,0.566986410871303,0.009032725222122302,0.0038288597320906494,0.07529348249825395,0.587045007704979
dave2-track1-DE_5.csv,xai-track1-rain-40,3,0.5638227441123826,0.13005881228888488,0.4710761589403973,0.5407684824902723,0.007207286705252498,0.0038288597320906494,0.09284863651603917,0.5597455837227175
dave2-track1-DE_5.csv,xai-track1-rain-50,1,0.8873276126264174,0.11403998012825894,0.14217999795689035,0.5333333333333333,0.020273788807714282,0.007282383465510205,0.09023535777581322,0.5941386340468909
dave2-track1-DE_5.csv,xai-track1-rain-50,2,0.917481711882956,0.28062111878206786,0.1171639562069356,0.5703948982094676,0.018114876388807943,0.007282383465510205,0.19441212762302884,0.674009891644958
dave2-track1-DE_5.csv,xai-track1-rain-50,3,0.9202305107111194,0.3295188764653695,0.10809978817110902,0.5741530106406492,0.014805233095217387,0.007282383465510205,0.25522446293602874,0.6637418134090197
dave2-track1-DE_5.csv,xai-track1-rain-60,1,0.8597570452369135,0.07198548738582111,0.17625321293517612,0.5448916408668729,0.02387355749382105,0.0058704480570000005,0.04209187007883987,0.7765499042868801
dave2-track1-DE_5.csv,xai-track1-rain-60,2,0.8251314881876186,0.12076186881934625,0.2133988618727367,0.562874251497006,0.01681382170127545,0.004197823124477255,0.06006164901777369,0.8073055186170213
dave2-track1-DE_5.csv,xai-track1-rain-60,3,0.7821130334229836,0.11781610796237417,0.24783358062124705,0.5456754542115226,0.012672076340131474,0.004197823124477255,0.0753828709031594,0.7596989588048891
dave2-track1-DE_5.csv,xai-track1-rain-70,1,0.8545495648242342,0.17579300709854362,0.20641978933973773,0.5817869415807561,0.020308651218144333,0.0021231349483085927,0.0581002670037264,0.8464572192513369
dave2-track1-DE_5.csv,xai-track1-rain-70,2,0.8668430694076938,0.3030606063830085,0.20485267903953028,0.632340208810797,0.012746791713333332,0.0021231349483085927,0.11120724862296767,0.851334651507662
dave2-track1-DE_5.csv,xai-track1-rain-70,3,0.8490097462055903,0.3131915002364429,0.2104576115796312,0.6114098216009044,0.009970471016753244,0.0021231349483085927,0.1359743207688736,0.8296753125106441
dave2-track1-DE_5.csv,xai-track1-rain-80,1,0.8955340439341508,0.14319646020871812,0.1294195769890078,0.5275122707310773,0.03272441011725851,0.005219761068733918,0.06314271404497816,0.8769402684091927
dave2-track1-DE_5.csv,xai-track1-rain-80,2,0.8935697561117494,0.34349248213843003,0.1586991151838241,0.6123407109322601,0.024894937521676052,0.0048439097183208,0.12222568695061002,0.8762423352742444
dave2-track1-DE_5.csv,xai-track1-rain-80,3,0.8812169632610859,0.5206285479756113,0.182906537338812,0.6355470238269687,0.019240192020191275,0.0048439097183208,0.17998618767013802,0.8565777323278724
dave2-track1-DE_5.csv,xai-track1-rain-90,1,0.8888817844681124,0.2909204924929344,0.14690411983018714,0.545242914979757,0.0180298634968,0.0030922056477034185,0.10268964059654484,0.8274150245681576
dave2-track1-DE_5.csv,xai-track1-rain-90,2,0.904501922057264,0.4853383133582159,0.14831373116102706,0.5977894176136364,0.014907561086897732,0.0030922056477034185,0.17649424704247724,0.8389489593358999
dave2-track1-DE_5.csv,xai-track1-rain-90,3,0.9257212975882,0.652201582311391,0.14174561482279693,0.6589294315992292,0.01310180549528125,0.0030922056477034185,0.2422981843177763,0.858617946335683
dave2-track1-DE_5.csv,xai-track1-rain-100,1,0.8870069930069929,0.07400628577440696,0.13994005994005995,0.5380952380952381,0.018420151619050418,0.00804195431808597,0.06679003647476099,0.6523905996758509
dave2-track1-DE_5.csv,xai-track1-rain-100,2,0.8948679076592664,0.1534486406729282,0.12364849711314292,0.5344232729553829,0.01587509097416055,0.00804195431808597,0.13816954489331454,0.6567621105708626
