model,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f3
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,100,0,78,100,97
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_selu_4_0,7,3,4,0,1,99,0,75,43,45
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,100,0,88,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,100,0,88,100,99
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_sigmoid_4_3,13,13,0,2,1,100,0,87,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_sigmoid_4_3,13,13,0,2,2,100,0,87,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_sigmoid_4_3,13,13,0,2,3,100,0,87,100,98
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_sigmoid_4_3,13,13,0,2,1,100,0,93,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_sigmoid_4_3,13,13,0,2,2,100,0,93,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_sigmoid_4_3,13,13,0,2,3,100,0,93,100,99
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,100,0,86,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_softmax_4_4,13,13,0,1,2,100,0,87,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_softmax_4_4,13,13,0,1,3,100,0,87,100,98
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,100,0,92,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_softmax_4_4,13,13,0,1,2,100,0,93,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_softmax_4_4,13,13,0,1,3,100,0,93,100,99
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_softsign_4_5,18,18,0,3,1,100,0,90,100,99
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_softsign_4_5,18,18,0,3,2,100,0,90,100,99
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_softsign_4_5,18,18,0,3,3,100,0,90,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_softsign_4_5,18,18,0,3,1,100,0,95,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_softsign_4_5,18,18,0,3,2,100,0,95,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_softsign_4_5,18,17,1,3,3,100,0,94,94,94
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,1,100,0,83,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_tanh_4_2,12,12,0,2,2,100,0,86,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_activation_function_mutated0_MP_tanh_4_2,12,11,1,2,3,100,0,85,92,91
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,1,100,0,91,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_tanh_4_2,12,12,0,2,2,100,0,92,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_activation_function_mutated0_MP_tanh_4_2,12,10,2,2,3,100,0,91,83,84
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,100,0,83,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,11,11,0,3,2,100,0,85,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,11,11,0,3,3,100,0,85,100,98
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,9,1,4,1,100,0,90,90,90
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,11,10,1,3,2,100,0,91,91,91
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,11,10,1,3,3,100,0,91,91,91
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,1,100,0,82,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,2,100,0,82,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,8,1,0,3,100,0,80,89,88
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,1,100,0,90,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,2,100,0,90,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,8,1,0,3,100,0,89,89,89
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,1,100,0,87,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,2,100,0,87,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,3,100,0,87,100,98
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,7,6,3,1,99,0,88,54,56
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,2,100,0,93,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_0.125_0.125_6_2,13,13,0,3,3,100,0,93,100,99
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,3,1,0,1,100,0,60,75,73
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,2,100,0,67,100,95
dave2-p10-track1-mcd_15_S5,max,udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,3,100,0,67,100,95
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,3,1,0,1,100,0,75,75,75
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,2,100,0,80,100,98
dave2-p10-track1-mcd_15_S5,mean,udacity_change_dropout_rate_mutated0_MP_1.0_1.0_6_1,4,4,0,0,3,100,0,80,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_label_mutated0_MP_12.5_4,12,12,0,0,1,100,0,86,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_label_mutated0_MP_12.5_4,12,12,0,0,2,100,0,86,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_label_mutated0_MP_12.5_4,11,11,0,1,3,100,0,85,100,98
dave2-p10-track1-mcd_15_S5,mean,udacity_change_label_mutated0_MP_12.5_4,12,10,2,0,1,100,0,91,83,84
dave2-p10-track1-mcd_15_S5,mean,udacity_change_label_mutated0_MP_12.5_4,12,11,1,0,2,100,0,92,92,92
dave2-p10-track1-mcd_15_S5,mean,udacity_change_label_mutated0_MP_12.5_4,11,11,0,1,3,100,0,92,100,99
dave2-p10-track1-mcd_15_S5,max,udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,1,100,0,67,100,95
dave2-p10-track1-mcd_15_S5,max,udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,2,100,0,67,100,95
dave2-p10-track1-mcd_15_S5,max,udacity_change_label_mutated0_MP_25.0_1,5,5,0,0,3,100,0,71,100,96
dave2-p10-track1-mcd_15_S5,mean,udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,1,100,0,80,100,98
dave2-p10-track1-mcd_15_S5,mean,udacity_change_label_mutated0_MP_25.0_1,4,4,0,1,2,100,0,80,100,98
dave2-p10-track1-mcd_15_S5,mean,udacity_change_label_mutated0_MP_25.0_1,5,5,0,0,3,100,0,83,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,11,11,0,1,1,100,0,85,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,11,11,0,1,2,100,0,85,100,98
dave2-p10-track1-mcd_15_S5,max,udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,11,11,0,1,3,100,0,85,100,98
dave2-p10-track1-mcd_15_S5,mean,udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,11,11,0,1,1,100,0,92,100,99
dave2-p10-track1-mcd_15_S5,mean,udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,11,10,1,1,2,100,0,91,91,91
dave2-p10-track1-mcd_15_S5,mean,udacity_change_loss_function_mutated0_MP_mean_absolute_error_2,11,8,3,1,3,99,0,89,73,74
